time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-25 00:00:00+00:00,65.0,1.0,536,7
2023-07-26 00:00:00+00:00,89.0,1.0,294,7
2023-07-27 00:00:00+00:00,40.0,2.0,353,7
2023-07-28 00:00:00+00:00,40.0,2.0,279,5
2023-07-29 00:00:00+00:00,25.0,2.0,89,5
2023-07-30 00:00:00+00:00,25.0,1.0,159,5
2023-07-31 00:00:00+00:00,57.0,1.0,470,7
2023-08-01 00:00:00+00:00,150.0,1.0,804,6
2023-08-02 00:00:00+00:00,90.0,27.0,1047,50
2023-08-03 00:00:00+00:00,114.0,10.0,944,34
2023-08-04 00:00:00+00:00,99.0,12.0,534,26
2023-08-05 00:00:00+00:00,26.0,8.0,225,11
2023-08-06 00:00:00+00:00,35.0,10.0,417,14
2023-08-07 00:00:00+00:00,64.0,9.0,510,21
2023-08-08 00:00:00+00:00,,,2,1
