time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-20 00:00:00+00:00,9,1,30,3
2023-07-21 00:00:00+00:00,175,2,447,4
2023-07-22 00:00:00+00:00,51,2,474,5
2023-07-23 00:00:00+00:00,71,1,151,5
2023-07-24 00:00:00+00:00,120,2,764,6
2023-07-25 00:00:00+00:00,65,1,536,7
2023-07-26 00:00:00+00:00,89,1,294,7
2023-07-27 00:00:00+00:00,40,2,353,7
2023-07-28 00:00:00+00:00,40,2,279,5
2023-07-29 00:00:00+00:00,25,2,89,5
2023-07-30 00:00:00+00:00,25,1,159,5
2023-07-31 00:00:00+00:00,57,1,470,7
2023-08-01 00:00:00+00:00,150,1,804,6
2023-08-02 00:00:00+00:00,90,27,1047,50
2023-08-03 00:00:00+00:00,114,10,944,34
2023-08-04 00:00:00+00:00,99,12,534,26
2023-08-05 00:00:00+00:00,26,8,225,11
2023-08-06 00:00:00+00:00,35,10,417,14
2023-08-07 00:00:00+00:00,64,9,510,21
2023-08-08 00:00:00+00:00,66,8,470,17
2023-08-09 00:00:00+00:00,46,7,528,27
2023-08-10 00:00:00+00:00,66,9,447,21
2023-08-11 00:00:00+00:00,65,12,453,29
2023-08-12 00:00:00+00:00,29,6,163,12
2023-08-13 00:00:00+00:00,9,4,68,8
2023-08-14 00:00:00+00:00,138,16,801,26
2023-08-15 00:00:00+00:00,0,0,32,1
